MUNICIPIO,MUNICIPIO_2,POBLACION,AÑO
Mier Y Noriega,MIER Y NORIEGA,6996,2019
Mina,MINA,5326,2019
Montemorelos,MONTEMORELOS,60829,2019
Monterrey,MONTERREY,1109171,2019
Paras,PARAS,971,2019
Pesqueria ,PESQUERIA ,87168,2019
Rayones,RAYONES,2640,2019
Sabinas Hidalgo,SABINAS HIDALGO,35456,2019
Salinas Victoria,SALINAS VICTORIA,54192,2019
San Nicolas De Los Garza,SAN NICOLAS DE LOS GARZA,430143,2019
San Pedro Garza Garcia,SAN PEDRO GARZA GARCIA,123156,2019
Santa Catarina,SANTA CATARINA,296954,2019
Santiago,SANTIAGO,42407,2019
Vallecillo,VALLECILLO,1632,2019
Villaldama,VILLALDAMA,4080,2019
Nuevo Leon,NUEVO LEON,5784442,2020
Abasolo,ABASOLO,2974,2020
Agualeguas,AGUALEGUAS,3382,2020
Allende,ALLENDE,35289,2020
Anahuac,ANAHUAC,18030,2020
Apodaca,APODACA,656464,2020
Aramberri,ARAMBERRI,14992,2020
Bustamante,BUSTAMANTE,3661,2020
Cadereyta Jimenez,CADEREYTA JIMENEZ,122337,2020
El Carmen,EL CARMEN,104478,2020
Cerralvo,CERRALVO,7340,2020
China,CHINA,9930,2020
Cienega De Flores,CIENEGA DE FLORES,68747,2020
Dr. Arroyo,DR. ARROYO,36088,2020
Dr. Coss,DR. COSS,1360,2020
Dr. Gonzalez,DR. GONZALEZ,3256,2020
Galeana,GALEANA,40903,2020
Garcia,GARCIA,397205,2020
Gral Bravo,GRAL BRAVO,5506,2020
Gral Escobedo,GRAL ESCOBEDO,481213,2020
Gral Teran,GRAL TERAN,14109,2020
Gral Treviño,GRAL TREVIÑO,1808,2020
Zaragoza,ZARAGOZA,6282,2020
Gral Zuazua,GRAL ZUAZUA,102149,2020
Guadalupe,GUADALUPE,643143,2020
Hidalgo,HIDALGO,16086,2020
Higueras,HIGUERAS,1386,2020
Hualahuises,HUALAHUISES,7026,2020
Iturbide,ITURBIDE,3298,2020
Juarez,JUAREZ,471523,2020
Lampazos,LAMPAZOS,5351,2020
Linares,LINARES,84666,2020
Aldamas,ALDAMAS,1407,2020
Herreras,HERRERAS,1959,2020
Ramones,RAMONES,5389,2020
Marin,MARIN,5119,2020
Melchor Ocampo,MELCHOR OCAMPO,1483,2020
Mier Y Noriega,MIER Y NORIEGA,7652,2020
Mina,MINA,6048,2020
Montemorelos,MONTEMORELOS,67428,2020
Monterrey,MONTERREY,1142994,2020
Paras,PARAS,906,2020
Pesqueria ,PESQUERIA ,147624,2020
Rayones,RAYONES,2377,2020
Sabinas Hidalgo,SABINAS HIDALGO,34709,2020
Salinas Victoria,SALINAS VICTORIA,86766,2020
San Nicolas De Los Garza,SAN NICOLAS DE LOS GARZA,412199,2020
San Pedro Garza Garcia,SAN PEDRO GARZA GARCIA,132169,2020
Santa Catarina,SANTA CATARINA,306322,2020
Santiago,SANTIAGO,46784,2020
Vallecillo,VALLECILLO,1552,2020
Villaldama,VILLALDAMA,3573,2020
